Lesson 1
ecclesiastic;[ɪˌkliːzɪ'æstɪk];духовное лицо;
maximum;['mæksɪməm];<a class="ajax ajax-full" href="/maximum/en-ru/#lingvo/">maximum</a>: максимум, максимальное…;
humdrum;['hʌmdrʌm];банальный, неинтересный;
modicum;['mɔdɪkəm];<a class="ajax ajax-full" href="/modicum/en-ru/#lingvo/">modicum</a>: очень малое количество;
luncheon;['lʌnʧən];ланч;
Lesson 22
immigration;[ˌɪmɪ'greɪʃ(ə)n];иммиграция;
circulation;[ˌsɜːkjə'leɪʃ(ə)n];круговорот, циркуляция;
transmutation;[ˌtrænzmjuː'teɪʃ(ə)n];изменение, превращение;
tenderloin;['tend(ə)lɔɪn];вырезка, филей, городской…;
sedition;[sɪ'dɪʃ(ə)n];<a class="ajax ajax-full" href="/sedition/en-ru/#lingvo/">sedition</a>: подстрекательство к мятежу;
dimension;[daɪ'men(t)ʃ(ə)n];<a class="ajax ajax-full" href="/dimension/en-ru/#lingvo/">dimension</a>: измерение, размеры, величина;
frostbitten;;<a class="ajax ajax-full" href="/frost-bitten/en-ru/#lingvo/">frost-bitten</a>: обмороженный, отмороженный;
mathematician;[ˌmæθ(ə)mə'tɪʃ(ə)n];математик;
nylon;['naɪlɔn];<a class="ajax ajax-full" href="/nylon/en-ru/#lingvo/">nylon</a>: нейлон, нейлоновые чулки;
legislation;[ˌleʤɪ'sleɪʃ(ə)n];<a class="ajax ajax-full" href="/legislation/en-ru/#lingvo/">legislation</a>: законодательство;
session;['seʃ(ə)n];заседание, собрание, совещание;
hypertension;[ˌhaɪpə'ten(t)ʃ(ə)n];повышенное кровяное давление;
transaction;[træn'zækʃ(ə)n];дело, сделка, соглашение;
liaison;[lɪ'eɪz(ə)n];контакт, связь, любовная связь;
Christian;['krɪsʧən];Кристиан, Христиан;
penultimate;[pə'nʌltɪmət];предпоследний, относящийся к…;
Lesson 23
avalanche;['æv(ə)lɑːn(t)ʃ];лавина, обвал, масса, поток;
entangle;[ɪn'tæŋgl];запутывать, вовлекать;
extricate;['ekstrɪkeɪt];<a class="ajax ajax-full" href="/extricate/en-ru/#lingvo/">extricate</a>: объяснять, разгадывать;
inconclusive;[ˌɪnkən'kluːsɪv];неубедительный, нерешающий;
inanimate;[ɪn'ænɪmət];<a class="ajax ajax-full" href="/inanimate/en-ru/#lingvo/">inanimate</a>: неживой, неодушевлённый;
congregate;['kɔŋgrɪgeɪt];<a class="ajax ajax-full" href="/congregate/en-ru/#lingvo/">congregate</a>: собирать, собираться;
decisive;[dɪ'saɪsɪv];<a class="ajax ajax-full" href="/decisive/en-ru/#lingvo/">decisive</a>: решающий, имеющий решающее…;
elaborate;[ɪ'læb(ə)rɪt];<a class="ajax ajax-full" href="/elaborate/en-ru/#lingvo/">elaborate</a>: тщательно, детально…;
affiliate;[ə'fɪlɪeɪt];<a class="ajax ajax-full" href="/affiliate/en-ru/#lingvo/">affiliate</a>: филиал, отделение, компаньон;
adhesive;[əd'hiːsɪv];липкий, клейкий, связывающий;
comprehensive;[ˌkɔmprɪ'hen(t)sɪv];<a class="ajax ajax-full" href="/comprehensive/en-ru/#lingvo/">comprehensive</a>: всесторонний, полный;
perspire;[pə'spaɪə];потеть, покрываться испариной;
scarce;[skeəs];недостаточный, скудный, редкий;
homage;['hɔmɪʤ];пиетет, почитание, почтение;
cubicle;['kjuːbɪkl];небольшое помещение, кабина;
brachiate;;<a class="ajax ajax-full" href="/brachiate/en-ru/#lingvo/">brachiate</a>: разветвленный;
dethrone;[ˌdiː'θrəun];свергать с престола, смещать;
mosaic;[məu'zeɪɪk];мозаика, смесь, попурри;
Lesson 24
tactic;['tæktɪk];относящийся к расположению;
characteristic;[ˌkærəktə'rɪstɪk];характерный, отличительный;
monolithic;[ˌmɔnə'lɪθɪk];единый, монолитный, целый;
hydraulic;[haɪ'drɔːlɪk];гидравлический, затвердевающий…;
relic;['relɪk];след, остаток, пережиток;
barbaric;[bɑː'bærɪk];варварский, первобытный;
ethnic;['eθnɪk];этнический, национальный;
cyclic;['saɪklɪk((ə)l)];циклический, цикличный;
epidemic;[ˌepɪ'demɪk];эпидемия, эпидемический;
skeptic;['skeptɪk];<a class="ajax ajax-full" href="/sceptic/en-ru/#lingvo/">sceptic</a>: скептик, философ-скептик;
sporadic;[spə'rædɪk((ə)l)];единичный, отдельный;
patriotic;[ˌpætrɪ'ɔtɪk];патриотический;
caustic;['kɔːstɪk];едкое вещество, каустическая…;
domestic;[də'mestɪk];домашний, семейный, бытовой;
quixotic;[kwɪk'sɔtɪk((ə)l)];донкихотский, идеалистический;
frenetic;[frə'netɪk];буйный, бурный, неистовый;
sanctuary;['sæŋ(k)ʧuərɪ];святилище, алтарь;
Lesson 25
galaxy;['gæləksɪ];галактика, (наша) Галактика;
ecstasy;['ekstəsɪ];экстаз, исступлённый восторг;
seminary;['semɪn(ə)rɪ];духовная школа, семинария;
chemistry;['kemɪstrɪ];химия, спонтанная взаимная…;
poultry;['pəultrɪ];домашняя птица, мясо домашней…;
observatory;[əb'zɜːvətrɪ];обсерватория, наблюдательный…;
battery;['bætərɪ];батарея, дивизион;
literary;['lɪt(ə)r(ə)rɪ];литературный, литературно…;
bankruptcy;['bæŋkrʌptsɪ];банкротство, несостоятельность;
intensify;[ɪn'ten(t)sɪfaɪ];усиливать, углублять;
poignancy;['pɔɪnjən(t)sɪ];острота, пикантность;
philosophy;[fɪ'lɔsəfɪ];философия, философская система;
treasury;['trəʒ(ə)rɪ];сокровищница, государственное…;
statutory;['stætjət(ə)rɪ];установленный, предписанный;
customary;['kʌstəm(ə)rɪ];обычный, привычный;
tyranny;['tɪr(ə)nɪ];деспотизм, деспотия, тирания;
assimilate;[ə'sɪmɪleɪt];<a class="ajax ajax-full" href="/assimilate/en-ru/#lingvo/">assimilate</a>: усваивать, впитывать;
Lesson 26
anarchy;['ænəkɪ];анархия, безвластие;
authorized;['ɔːθ(ə)raɪzd];санкционированный, разрешённый;
athletics;[æθ'letɪks];атлетика, занятия спортом;
arithmetic;[ə'rɪθmətɪk];арифметика, счёт;
apprehend;[ˌæprɪ'hend];понимать, постигать;
aviator;['eɪvɪeɪtə];авиатор, лётчик, пилот;
association;[əˌsəusɪ'eɪʃ(ə)n];соединение, объединение;
aroma;[ə'rəumə];аромат, приятный запах;
aloof;[ə'luːf];сторонящийся, отчуждённый;
artificial;[ˌɑːtɪ'fɪʃ(ə)l];искусственный, ненатуральный;
assimilation;[əˌsɪmɪ'leɪʃ(ə)n];ассимиляция, уподобление;
aeronautics;[ˌeərə'nɔːtɪks];аэронавтика;
attorneys;[ə'təːnɪ];<a class="ajax ajax-full" href="/attorney/en-ru/#lingvo/">attorney</a>: поверенный, доверенное лицо;
asphalt;['æsfælt];асфальт, битум, покрывать…;
insoluble;[ɪn'sɔljəbl];нерастворимый, неразрешимый;
Lesson 27
franchise;['frænʧaɪz];право участвовать в выборах;
dominance;['dɔmɪnən(t)s];господство, влияние;
diffidence;['dɪfɪd(ə)n(t)s];робость, скромность;
doctrine;['dɔktrɪn];<a class="ajax ajax-full" href="/doctrine/en-ru/#lingvo/">doctrine</a>: теория, доктрина, учение;
gruesome;['gruːsəm];отвратительный, страшный;
theme;[θiːm];<a class="ajax ajax-full" href="/theme/en-ru/#lingvo/">theme</a>: тема, предмет, вопрос;
crevice;['krevɪs];трещина, расщелина, щель;
recuperate;[rɪ'kjuːp(ə)reɪt];<a class="ajax ajax-full" href="/recuperate/en-ru/#lingvo/">recuperate</a>: поправляться, выздоравливать;
impinge;[ɪm'pɪnʤ];<a class="ajax ajax-full" href="/impinge/en-ru/#lingvo/">impinge</a>: сталкиваться, ударяться;
sieve;[sɪv];решето, сито, грохот;
utilize;['juːtɪlaɪz];утилизировать, использовать;
impassable;[ɪm'pɑːsəbl];непроезжий, непроходимый;
escapade;[ˌeskə'peɪd];эскапада, весёлая и смелая…;
advocate;['ædvəkət];<a class="ajax ajax-full" href="/advocate/en-ru/#lingvo/">advocate</a>: защитник, сторонник;
affable;['æfəbl];приветливый, дружеский;
persuasive;[pə'sweɪsɪv];<a class="ajax ajax-full" href="/persuasive/en-ru/#lingvo/">persuasive</a>: убедительный, мотив;
era;['ɪərə];эра, время, период, эпоха;
Lesson 28
abracadabra;[ˌæbrəkə'dæbrə];заклинание, магические слова;
quota;['kwəutə];<a class="ajax ajax-full" href="/quota/en-ru/#lingvo/">quota</a>: доля, квота, часть;
replica;['replɪkə];<a class="ajax ajax-full" href="/replica/en-ru/#lingvo/">replica</a>: реплика, точная копия;
papaya;[pə'paɪə];папайя, плод папайи;
mania;['meɪnɪə];<a class="ajax ajax-full" href="/mania/en-ru/#lingvo/">mania</a>: мания, страсть к чему-л.;
panorama;[ˌpæn(ə)'rɑːmə];вид, обзор, панорама;
stigma;['stɪgmə];бесславие, бесчестье, позор;
granola;['grændlɪ];;
utopia;[juː'təupɪə];Утопия, утопия, несбыточная…;
minutia;;;
plea;[pliː];судебный акт, процесс, тяжба;
glaucoma;[glɔː'kəumə];глаукома;
claustrophobia;[ˌklɔːstrə'fəubɪə];клаустрофобия, боязнь…;
hydrangea;[haɪ'dreɪnʤə];гортензия (древовидная);
nausea;['nɔːsɪə];<a class="ajax ajax-full" href="/nausea/en-ru/#lingvo/">nausea</a>: тошнота, морская болезнь;
tarantula;[tə'ræntjulə];<a class="ajax ajax-full" href="/tarantula/en-ru/#lingvo/">tarantula</a>: тарантул, укус тарантула;
fiesta;[fɪ'estə];празднество, праздник;
spendthrift;['spendθrɪft];мот, расточитель, неэкономный;
Lesson 29
splendid;['splendɪd];роскошный, пышный;
speculation;[ˌspekjə'leɪʃ(ə)n];<a class="ajax ajax-full" href="/speculation/en-ru/#lingvo/">speculation</a>: размышление, обдумывание;
speculative;['spekjələtɪv];<a class="ajax ajax-full" href="/speculative/en-ru/#lingvo/">speculative</a>: умозрительный, созерцательный;
spurn;[spɜːn];отвергать с презрением;
spasm;['spæz(ə)m];спазма, спазм, судорога;
spouted;[spaut];<a class="ajax ajax-full" href="/spout/en-ru/#lingvo/">spout</a>: горлышко, носик, труба;
spleen;[spliːn];селезёнка, злоба;
splinter;['splɪntə];<a class="ajax ajax-full" href="/splinter/en-ru/#lingvo/">splinter</a>: лучина, щепка, заноза, осколок;
spunky;['spʌŋkɪ];мужественный, храбрый, смелый;
specializing;;специализация;
speculate;['spekjəleɪt];<a class="ajax ajax-full" href="/speculate/en-ru/#lingvo/">speculate</a>: обдумывать, взвешивать;
sprawled;[sprɔːl];<a class="ajax ajax-full" href="/sprawl/en-ru/#lingvo/">sprawl</a>: неуклюжая поза, неуклюжее…;
spectroscope;['spektrəskəup];спектроскоп;
speedometer;[spiː'dɔmɪtə];спидометр, одометр;
fledgling;['fleʤlɪŋ];оперившийся птенец, новичок;
Lesson 30
pang;[pæŋ];внезапная острая боль;
begetting;[bɪ'get];<a class="ajax ajax-full" href="/beget/en-ru/#lingvo/">beget</a>: вызывать, порождать;
enterprising;['entəpraɪzɪŋ];предприимчивый, активный;
unveiling;[ʌn'veɪl];<a class="ajax ajax-full" href="/unveil/en-ru/#lingvo/">unveil</a>: снимать покрывало, раскрывать;
bickering;['bɪkərɪŋ];спор, ссора;
issuing;;выпускающий;
gnawing;['nɔːɪŋ];грызущий, терзающий, мучающий;
flitting;[flɪt];<a class="ajax ajax-full" href="/flit/en-ru/#lingvo/">flit</a>: летать с места на место;
foreboding;[fɔː'bəudɪŋ];плохое предсказание;
excruciating;[ɪks'kruːʃɪeɪtɪŋ];мучительный;
throng;[θrɔŋ];толпа, толчея, масса;
quoting;[kwəut];<a class="ajax ajax-full" href="/quote/en-ru/#lingvo/">quote</a>: цитировать, ссылаться;
expunging;[ɪk'spʌnʤ];<a class="ajax ajax-full" href="/expunge/en-ru/#lingvo/">expunge</a>: вычёркивать, удалять;
sweltering;['swelt(ə)rɪŋ];душный, жаркий, знойный;
spiritual;['spɪrɪʧuəl];духовный, церковный, набожный;
Lesson 31
betrayal;[bɪ'treɪəl];измена, предательство;
frugal;['fruːg(ə)l];бережливый, экономный;
recital;[rɪ'saɪt(ə)l];<a class="ajax ajax-full" href="/recital/en-ru/#lingvo/">recital</a>: подробное изложение, перечень;
ineffectual;[ˌɪnɪ'fekʧuəl];безрезультатный, бесплодный;
abdominal;[æb'dɔmɪn(ə)l];абдоминальный, брюшной;
corral;[kə'rɑːl];загон, ферма, ограждение из…;
perpetual;[pə'peʧuəl];<a class="ajax ajax-full" href="/perpetual/en-ru/#lingvo/">perpetual</a>: бесконечный, вечный;
dismal;['dɪzməl];<a class="ajax ajax-full" href="/dismal/en-ru/#lingvo/">dismal</a>: мрачный, унылый, гнетущий;
rhetorical;[rɪ'tɔrɪk(ə)l];риторический, напыщенный;
mythological;[ˌmɪθ(ə)'lɔʤɪk(ə)l];мифологический, легендарный;
diagonal;[daɪ'æg(ə)n(ə)l];диагональный, идущий наискось;
rehearsal;[rɪ'hɜːs(ə)l];репетиция, повторение;
sentimental;[ˌsentɪ'ment(ə)l];сентиментальный;
dual;['djuːəl];двойной, состоящий из двух…;
gnarled;[nɑːld];шишковатый, сучковатый;
Lesson 32
blighted;[blaɪt];<a class="ajax ajax-full" href="/blight/en-ru/#lingvo/">blight</a>: болезнь растений;
feud;[fjuːd];длительная, часто…;
haphazard;[ˌhæp'hæzəd];случай, случайность;
fend;[fend];<a class="ajax ajax-full" href="/fend/en-ru/#lingvo/">fend</a>: отражать, отгонять, парировать;
dubbed;;дублированный;
frenzied;['frenzɪd];взбешённый, бешеный;
amid;[ə'mɪd];между, посреди, среди;
embellished;[ɪm'belɪʃt];украшенный;
lurid;['l(j)uərɪd];мертвенно-бледный, огненный;
benefited;;<a class="ajax ajax-full" href="/benefit/en-ru/#lingvo/">benefit</a>: выгода, польза, прибыль;
etched;;вытравленный, травлёный;
itemized;['aɪtəmaɪz];<a class="ajax ajax-full" href="/itemize/en-ru/#lingvo/">itemize</a>: перечислять по пунктам;
handicapped;['hændɪkæpt];физически умственно…;
grappled;['græpl];<a class="ajax ajax-full" href="/grapple/en-ru/#lingvo/">grapple</a>: зацепить, схватить, ухватить;
abashed;[ə'bæʃt];сконфуженный, смешавшийся;
inaugurated;[inogyʀal, -o];<a class="ajax ajax-full" href="/inaugurate/en-ru/#lingvo/">inaugurate</a>: вводить в действие, открывать;
substituted;['sʌbstɪtjuːt];<a class="ajax ajax-full" href="/substitute/en-ru/#lingvo/">substitute</a>: заместитель, заменяющий игрок;
galvanized;;оцинкованный;
gnawed;[nɔː];<a class="ajax ajax-full" href="/gnaw/en-ru/#lingvo/">gnaw</a>: грызть, глодать, прогрызать;
superficial;[ˌs(j)uːpə'fɪʃ(ə)l];внешний, неглубокий;
Lesson 33
disposal;[dɪs'pəuz(ə)l];размещение, расположение;
biographical;[ˌbaɪəu'græfɪk((ə)l)];биографический;
nautical;['nɔːtɪk(ə)l];морской, навигационный;
impractical;[ɪm'præktɪk(ə)l];непрактичный;
retrial;[ˌriː'traɪəl];пересмотр судебного дела;
impersonal;[ɪm'pɜːs(ə)n(ə)l];<a class="ajax ajax-full" href="/impersonal/en-ru/#lingvo/">impersonal</a>: лишённый индивидуальности;
quadrilateral;[ˌkwɔdrɪ'læt(ə)r(ə)l];<a class="ajax ajax-full" href="/quadrilateral/en-ru/#lingvo/">quadrilateral</a>: четырёхсторонник;
botanical;[bə'tænɪk((ə)l)];ботанический;
janitorial;[ˌʤænɪ'tɔːrɪəl];относящийся к дворнику;
cordial;['kɔːdɪəl];сердечный, задушевный, тёплый;
upheaval;[ʌp'hiːv(ə)l];подъём, переворот, бунт;
skeptical;['skeptɪk(ə)l];<a class="ajax ajax-full" href="/sceptical/en-ru/#lingvo/">sceptical</a>: скептический;
inspirational;[ˌɪnsp(ə)'reɪʃ(ə)n(ə)l];вдохновляющий, воодушевляющий;
comical;['kɔmɪk(ə)l];смешной, забавный, потешный;
antisocial;[ˌæntɪ'səuʃ(ə)l];<a class="ajax ajax-full" href="/antisocial/en-ru/#lingvo/">antisocial</a>: антиобщественный;
twentieth;['twentɪɪθ];двадцатый, двадцатая часть;
Lesson 34
Sabbath;['sæbəθ];суббота, шабат, воскресенье;
fortieth;['fɔːtɪəθ];сороковой, сороковая часть;
wraith;[reɪθ];дух, являющийся незадолго до…;
labyrinth;['læb(ə)rɪnθ];лабиринт, трудное;
behemoth;[bɪ'hiːmɔθ];чудище, чудовище, страшилище;
stealth;[stelθ];хитрость, уловка;
oilcloth;['ɔɪlklɔθ];промасленная ткань, клеёнка;
girth;[gɜːθ];подпруга, обхват, объём, пояс;
mirth;[mɜːθ];веселье, радость, увеселение;
seventeenth;[ˌsev(ə)n'tiːnθ];семнадцатый, составляющий одну…;
blabbermouth;['blæbəmauθ];трепач;
megalith;['megəlɪθ];мегалит;
sleuth;[sluːθ];поисковая собака;
examinations;[ɪgˌzæmɪ'neɪʃ(ə)n];<a class="ajax ajax-full" href="/examination/en-ru/#lingvo/">examination</a>: осмотр, обследование;
Lesson 35
spontaneous;[spɔn'teɪnɪəs];самопроизвольный, добровольный;
blasphemous;['blæsfɪməs];богохульный, нечестивый;
boisterous;['bɔɪst(ə)rəs];возбуждённый, бурный;
wintriness;['wɪntrɪ];;
rapacious;[rə'peɪʃəs];жадный, алчный, хищный;
wondrous;['wʌndrəs];изумительный, поразительный;
auspicious;[ɔː'spɪʃəs];благоприятный;
acrimonious;[ˌækrɪ'məunɪəs];желчный, язвительный, злой;
diagnosis;[ˌdaɪəg'nəusɪs];диагноз, обнаружение;
advantageous;[ˌædvən'teɪʤəs];благоприятный, выгодный;
simultaneous;[ˌsɪm(ə)l'teɪnɪəs];одновременный, синхронный;
voracious;[və'reɪʃəs];прожорливый, жадный;
difficulties;;затруднения, разногласия;
porous;['pɔːrəs];пористый, ноздреватый;
ignominious;[ˌɪgnə'mɪnɪəs];бесчестный, нечестный;
voluptuous;[və'lʌpʧuəs];чувственный, сладострастный;
brawniness;['brɔːnɪ];<a class="ajax ajax-full" href="/brownie/en-ru/#lingvo/">brownie</a>: тип фотографического аппарата;
raucous;['rɔːkəs];хриплый, охрипший, сиплый;
proprietor;[prə'praɪətə];собственник, владелец;
Lesson 36
publications;[ˌpʌblɪ'keɪʃ(ə)n];<a class="ajax ajax-full" href="/publication/en-ru/#lingvo/">publication</a>: издание, печатание, публикация;
possessed;[pə'zest];<a class="ajax ajax-full" href="/possessed/en-ru/#lingvo/">possessed</a>: одержимый чем-л.;
prospectus;[prə'spektəs];проспект, проспект эмиссии;
privileged;['prɪv(ə)lɪʤd];привилегированный;
particulars;;подробный отчет, частности;
precept;['priːsept];правило поведения, принцип;
precarious;[prɪ'keərɪəs];ненадёжный, сомнительный;
paralyze;['pær(ə)laɪz];поражать параличом;
pungent;['pʌnʤ(ə)nt];<a class="ajax ajax-full" href="/pungent/en-ru/#lingvo/">pungent</a>: колющий, острый, пикантный;
pandemonium;[ˌpændə'məunɪəm];<a class="ajax ajax-full" href="/pandemonium/en-ru/#lingvo/">pandemonium</a>: ад, преисподняя;
prestigious;[pres'tɪʤəs];престижный;
pessimistic;[ˌpesɪ'mɪstɪk];пессимистический;
pompous;['pɔmpəs];напыщенный, высокопарный;
presiding;[prɪ'zaɪd];<a class="ajax ajax-full" href="/preside/en-ru/#lingvo/">preside</a>: председательствовать;
demure;[dɪ'mjuə];<a class="ajax ajax-full" href="/demure/en-ru/#lingvo/">demure</a>: скромный, спокойный;
Lesson 37
architecture;['ɑːkɪtekʧə];архитектура, зодчество;
crucial;['kruːʃ(ə)l];ключевой, критический;
attribute;['ætrɪbjuːt];<a class="ajax ajax-full" href="/attribute/en-ru/#lingvo/">attribute</a>: отличительная черта;
multitude;['mʌltɪt(j)uːd];множество, большое число;
turpitude;['tɜːpɪt(j)uːd];низость, подлость;
ineptitude;[ɪ'neptɪt(j)uːd];неуместность, непригодность;
forfeiture;['fɔːfɪʧə];потеря, утрата, конфискация;
erasure;[ɪ'reɪʒə];<a class="ajax ajax-full" href="/erasure/en-ru/#lingvo/">erasure</a>: подчистка, соскабливание;
statute;['stætjuːt];<a class="ajax ajax-full" href="/statute/en-ru/#lingvo/">statute</a>: закон, законодательный акт…;
rational;['ræʃ(ə)n(ə)l];разумный, мыслящий;
aperture;['æpətjuə];<a class="ajax ajax-full" href="/aperture/en-ru/#lingvo/">aperture</a>: отверстие, скважина, дыра;
signature;['sɪgnəʧə];<a class="ajax ajax-full" href="/signature/en-ru/#lingvo/">signature</a>: подпись, характерная черта;
pivotal;['pɪvət(ə)l];центральный, осевой;
absolute;[ˌæbs(ə)'l(j)uːt];<a class="ajax ajax-full" href="/absolute/en-ru/#lingvo/">absolute</a>: полный, абсолютный;
pastoral;['pɑːst(ə)r(ə)l];пастушеский, относящийся к…;
immure;[ɪ'mjuə];<a class="ajax ajax-full" href="/immure/en-ru/#lingvo/">immure</a>: заделывать в кладку;
institute;['ɪn(t)stɪtjuːt];<a class="ajax ajax-full" href="/institute/en-ru/#lingvo/">institute</a>: институт, установленная…;
abjure;[əb'ʤuə];<a class="ajax ajax-full" href="/abjure/en-ru/#lingvo/">abjure</a>: отказываться, отрекаться;
communal;['kɔmjun(ə)l];принадлежащий общине, общинный;
conundrum;[kə'nʌndrəm];загадка, головоломка, проблема;
Lesson 38
comparatively;[kəm'pærətɪvlɪ];сравнительно, относительно;
conspicuously;[kən'spɪkjuəslɪ];видимо, заметно, очевидно;
contiguous;[kən'tɪgjuəs];соприкасающийся, смежный;
colossal;[kə'lɔs(ə)l];большой, грандиозный;
congeal;[kən'ʤiːl];замораживать, сгущать;
committee;[kə'mɪtɪ];комитет, комиссия, куратор;
concocted;[kən'kɔkt];<a class="ajax ajax-full" href="/concoct/en-ru/#lingvo/">concoct</a>: состряпать, выдумывать;
corpulent;['kɔːpjulənt];дородный, жирный, полный;
complexion;[kəm'plekʃ(ə)n];<a class="ajax ajax-full" href="/complexion/en-ru/#lingvo/">complexion</a>: цвет лица, состояние кожи лица;
counsellor;['kaun(t)s(ə)lə];советник, консультант, адвокат;
consequently;['kɔn(t)sɪkwəntlɪ];следовательно, поэтому;
collateral;[kə'læt(ə)r(ə)l];<a class="ajax ajax-full" href="/collateral/en-ru/#lingvo/">collateral</a>: сопутствующий, вспомогательный;
correspondent;[ˌkɔrɪ'spɔnd(ə)nt];<a class="ajax ajax-full" href="/correspondent/en-ru/#lingvo/">correspondent</a>: корреспондент, лицо;
compensation;[ˌkɔmpən'seɪʃ(ə)n];компенсация, возмещение;
melancholy;['melənk(ə)lɪ];меланхолия, уныние, грусть;
Lesson 39
intermittently;[ˌɪntə'mɪt(ə)ntlɪ];периодически, с перерывами;
gradually;['grædjuəlɪ];исподволь, мало-помалу;
linguistically;;;
fortunately;['fɔːʧ(ə)nətlɪ];счастливо, к счастью;
surreptitiously;[ˌsʌrəp'tɪʃəslɪ];тайно, скрытно, исподтишка;
positively;['pɔzətɪvlɪ];прямо, непосредственно, явно;
previously;['priːvɪəslɪ];заблаговременно, заранее;
scarcely;['skeəslɪ];едва, почти не, с трудом;
affectionately;[ə'fekʃ(ə)nətlɪ];нежно, с любовью;
ghastly;['gɑːstlɪ];наводящий ужас, жуткий;
leniently;['liːnɪənt];<a class="ajax ajax-full" href="/lenient/en-ru/#lingvo/">lenient</a>: снисходительный, мягкий;
particularly;[pə'tɪkjələlɪ];очень, чрезвычайно;
precisely;[prɪ'saɪslɪ];точно, строго, определённо;
piccolo;['pɪkələu];пикколо, маленькое пианино;
Lesson 40
preoccupied;[prɪ'ɔkjəpaɪd];поглощённый мыслями;
accede;[æk'siːd];<a class="ajax ajax-full" href="/accede/en-ru/#lingvo/">accede</a>: соглашаться на, примыкать;
accordingly;[ə'kɔːdɪŋlɪ];соответственно, так;
accuracy;['ækjərəsɪ];правильность, соответствие;
accommodations;[əˌkɔmə'deɪʃ(ə)n];<a class="ajax ajax-full" href="/accommodation/en-ru/#lingvo/">accommodation</a>: жильё, жилище, помещение;
hiccupped;['hɪkʌp];<a class="ajax ajax-full" href="/hiccup/en-ru/#lingvo/">hiccup</a>: икать, икота, небольшой сбой;
accursed;[ə'kɜːsɪd];проклятый, мерзкий;
accumulate;[ə'kjuːmjəleɪt];<a class="ajax ajax-full" href="/accumulate/en-ru/#lingvo/">accumulate</a>: аккумулировать, накапливать;
moccasins;['mɔkəsɪn];<a class="ajax ajax-full" href="/moccasin/en-ru/#lingvo/">moccasin</a>: мокасины, водяной щитомордник;
accelerate;[ək'seləreɪt];<a class="ajax ajax-full" href="/accelerate/en-ru/#lingvo/">accelerate</a>: ускорять, убыстрять;
succumbed;[sykɔ̃be];<a class="ajax ajax-full" href="/succumb/en-ru/#lingvo/">succumb</a>: поддаваться, уступать;
cappuccino;[ˌkæpu'ʧiːnəu];капучино, кофе с молочной…;
unacceptable;[ˌʌnək'septəbl];недопустимый, непозволительный;
succession;[sək'seʃ(ə)n];последовательность;
tobacco;[tə'bækəu];табак;
