Lesson 1
skyscraper;['skaɪˌskreɪpə];небоскрёб, многоэтажный дом;
distraught;[dɪ'strɔːt];смятенный, смущённый;
dismissal;[dɪs'mɪs(ə)l];увольнение, отставка;
discovered;[dɪ'skʌvəd];выявленный, обнаруженный;
displease;[dɪs'pliːz];вызывать недовольство, сердить;
discolor;[dɪs'kʌlə];обесцвечивать, выцветать;
distort;[dɪ'stɔːt];искажать, искривлять;
disaster;[dɪ'zɑːstə];беда, бедствие, несчастье;
disguise;[dɪs'gaɪz];изменять внешность, облик;
displace;[dɪs'pleɪs];перемещать, двигать;
undertake;[ˌʌndə'teɪk];предпринимать, совершать;
Lesson 36
undertook;[ˌʌndə'tuk];undertake: предпринимать, совершать;
underpass;['ʌndəpɑːs];проезд под полотном железной дороги;
underneath;[ˌʌndə'niːθ];внизу, ниже, снизу, вниз, под;
underrated;[ˌʌndə'reɪt];underrate: недооценивать, преуменьшать;
underside;['ʌndəsaɪd];нижняя часть, дно, низ;
undercover;[ˌʌndə'kʌvə];секретный, тайный;
understand;[ˌʌndə'stænd];понимать, постигать;
underestimate;[ˌʌnd(ə)r'estɪmət];недооценка, недооценивать;
understood;[ˌʌndə'stud];понимать, постигать;
underwear;['ʌndəweə];нижнее бельё;
understandable;[ˌʌndə'stændəbl];понятный, ясный;
decoration;[ˌdek(ə)'reɪʃ(ə)n];украшение, убранство;
Lesson 37
vocation;[və'keɪʃ(ə)n];призвание свыше, призвание;
migration;[maɪ'greɪʃ(ə)n];миграция, перемещение;
population;[ˌpɔpjə'leɪʃ(ə)n];(народо)население, жители;
examination;[ɪgˌzæmɪ'neɪʃ(ə)n];осмотр, обследование;
situation;[ˌsɪʧu'eɪʃ(ə)n];обстановка, положение;
nation;['neɪʃ(ə)n];народ, нация, народность;
location;[ləu'keɪʃ(ə)n];помещение, размещение;
duration;[djuə'reɪʃ(ə)n];длина, длительность;
relaxation;[ˌriːlæk'seɪʃ(ə)n];восстановление сил, отдых;
operation;[ˌɔp(ə)'reɪʃ(ə)n];деятельность, работа, действие;
transportation;[ˌtræn(t)spɔː'teɪʃ(ə)n];перевозка, транспортировка;
laziest;['leɪzɪ];lazy: ленивый, располагающий к лени;
Lesson 38
windiest;['wɪndɪ];windy: ветреный, обдуваемый ветром;
silliest;[];silly: глупый, дурацкий, нелепый;
trickiest;[];tricky: хитрый, ловкий, искусный;
happiest;['hæpɪ];happy: счастливый, довольный, весёлый;
chilliest;['ʧɪlɪ];chilly: холодный, прохладный, зябкий;
iciest;['aɪsɪ];icy: ледяной, скользкий как лёд;
sunniest;['sʌnɪ];sunny: солнечный, освещённый солнцем;
scariest;['skeərɪ];scary: жуткий, ужасный, пугливый;
driest;[draɪ];dry: сухой, обезвоженный;
dirtiest;['dɜːtɪ];dirty: грязный, запачканный;
angriest;['æŋgrɪ];angry: сердитый, недовольный;
busiest;[];busy: деятельный, занятой, занятый;
healthiest;['helθɪ];healthy: здоровый, полезный;
funniest;['fʌnɪ];funny: забавный, смешной;
prettiest;['prɪtɪ];pretty: милый, прелестный, миловидный;
heaviest;['hevɪ];heavy: тяжёлый, тяжеловесный, крупный;
airman;['eəmən];лётчик, пилот, авиатехник;
Lesson 39
buttercup;['bʌtəkʌp];лютик;
stepladder;['stepˌlædə];стремянка, приставная лестница;
blackmail;['blækmeɪl];шантаж, вымогательство;
pocketbook;['pɔkɪtbuk];записная книжка, кошелёк;
mistletoe;['mɪsltəu];омела;
tightrope;['taɪtrəup];туго натянутый канат;
snowflake;[ˈsnəufleɪk];снежинка;
anchorman;['æŋkəmæn];ключевая фигура;
pocketknife;['pɔkɪtnaɪf];карманный нож;
friendship;['frendʃɪp];дружба, дружеские отношения;
earmuffs;['ɪəmʌfs];наушники для защиты от холода;
blackboard;['blækbɔːd];классная доска;
delightfully;[dɪ'laɪtf(ə)lɪ];восхитительно, очаровательно;
Lesson 40
forcefully;['fɔːsf(ə)l];forceful: сильный, могущественный;
gleefully;['gliːf(ə)lɪ];радостно, весело, ликующе;
wishfully;['wɪʃf(ə)l];wishful: желаемый, желанный;
playfully;['pleɪf(ə)lɪ];игриво, шаловливо, шутливо;
painfully;['peɪnf(ə)lɪ];болезненно, мучительно;
cheerfully;['ʧɪəf(ə)lɪ];радостно, весело, бодро;
truthfully;['truːθf(ə)lɪ];правдиво, искренне, верно;
hopefully;['həupf(ə)lɪ];с надеждой, надо надеяться;
beautifully;['bjuːtəf(ə)l];beautiful: красивый, привлекательный;
watchfully;['wɔʧf(ə)l];watchful: бдительный, настороженный;
fully;['fulɪ];вполне, полностью, совершенно;
pitifully;['pɪtɪf(ə)l];pitiful: плачевный, прискорбный;
