Lesson 1
suggest;[sə'ʤest];предлагать, советовать;
installment;[ɪn'stɔːlmənt];часть долга, очередной взнос;
agreement;[ə'griːmənt];согласие, договор, соглашение;
governorship;['gʌv(ə)nəʃɪp];должность губернатора, власть;
Lesson 37
penmanship;['penmənʃɪp];каллиграфия, чистописание;
leadership;['liːdəʃɪp];руководство, водительство;
partnership;['pɑːtnəʃɪp];сотрудничество;
horsemanship;['hɔːsmənʃɪp];искусство верховой езды;
membership;['membəʃɪp];членство;
hardship;['hɑːdʃɪp];трудность, трудности;
relationship;[rɪ'leɪʃ(ə)nʃɪp];отношение, взаимоотношение;
apprenticeship;[ə'prentɪsʃɪp];обучение, учение, ученичество;
citizenship;['sɪtɪz(ə)nʃɪp];гражданство;
ownership;['əunəʃɪp];собственность, владение;
sportsmanship;['spɔːtsmənʃɪp];спортивное мастерство;
battleship;['bætlʃɪp];линейный корабль, линкор;
companionship;[kəm'pænɪənʃɪp];дружеское общение;
conversation;[ˌkɔnvə'seɪʃ(ə)n];разговор, беседа;
Lesson 38
avocation;[ˌævə(u)'keɪʃ(ə)n];профессия, призвание;
organization;[ˌɔːg(ə)naɪ'zeɪʃ(ə)n];организация, устройство;
punctuation;[ˌpʌŋkʧu'eɪʃ(ə)n];пунктуация, акцентирование;
imagination;[ɪˌmæʤɪ'neɪʃ(ə)n];воображение, фантазия;
vacation;[və'keɪʃ(ə)n];каникулы, отпуск, отдых;
equation;[ɪ'kweɪʒ(ə)n];приравнивание, уравнивание;
generation;[ˌʤenə'reɪʃ(ə)n];поколение, потомство, род;
salutation;[ˌsæljə'teɪʃ(ə)n];приветствие, фраза приветствия;
restoration;[ˌrest(ə)'reɪʃ(ə)n];восстановление, реконструкция;
corporation;[ˌkɔːp(ə)'reɪʃ(ə)n];корпорация;
adaptation;[ˌædæp'teɪʃ(ə)n];адаптация, привыкание;
installation;[ˌɪnstə'leɪʃ(ə)n];установление;
Lesson 39
vaccination;[ˌvæksɪ'neɪʃ(ə)n];прививка оспы, вакцинация;
preparation;[ˌprep(ə)'reɪʃ(ə)n];подготовка, приготовление;
congratulation;[kənˌgræʧu'leɪʃ(ə)n];поздравление;
alteration;[ˌɔːlt(ə)'reɪʃ(ə)n];изменение, перемена, переделка;
resignation;[ˌrezɪg'neɪʃ(ə)n];отказ от должности;
congregation;[ˌkɔŋgrɪ'geɪʃ(ə)n];скопление, собрание, сходка;
manifestation;[ˌmænɪfes'teɪʃ(ə)n];проявление, олицетворение;
condensation;[ˌkɔnden'seɪʃ(ə)n];сгущение, уплотнение;
organization;[ˌɔːg(ə)naɪ'zeɪʃ(ə)n];организация, устройство;
communication;[kəˌmjuːnɪ'keɪʃ(ə)n];процесс передачи информации;
demonstration;[ˌdemən'streɪʃ(ə)n];показ, демонстрация, довод;
trepidation;[ˌtrepɪ'deɪʃ(ə)n];трепет, дрожь, дрожание;
graduation;[ˌgrædju'eɪʃ(ə)n];окончание учебного заведения;
multiplication;[ˌmʌltɪplɪ'keɪʃ(ə)n];умножение, размножение;
magnificent;[mæg'nɪfɪs(ə)nt];великолепный, величественный;
Lesson 40
deficient;[dɪ'fɪʃ(ə)nt];недостающий, отсутствующий;
diligent;['dɪlɪʤ(ə)nt];прилежный, старательный;
obedient;[ə'biːdɪənt];покорный, послушный;
convenient;[kən'viːnɪənt];удобный, подходящий, пригодный;
accident;['æksɪd(ə)nt];несчастный случай, катастрофа;
eloquent;['eləkwənt];красноречивый;
absent;['æbs(ə)nt];отсутствующий, несуществующий;
resident;['rezɪd(ə)nt];постоянно проживающее лицо;
innocent;['ɪnəs(ə)nt];невинный человек;
quotient;['kwəuʃ(ə)nt];частное, коэффициент;
confident;['kɔnfɪd(ə)nt];уверенный в;
continent;['kɔntɪnənt];континент, материк;
